b'Lol facts',b'Maybe Alex was the \xe2\x80\x9caccuser lol',b'RT I love dating someone who gets excited over little things the way I do My boyfriend literally rambled for like 10 minutes\xe2\x80\xa6',b'RT Stop hitting people up first and you\xe2\x80\x99ll realize you\xe2\x80\x99re place lol',b'HAHAHA ma pa I had my first crush when i was in kindergarten and it even lasted till highschool pangutana sad lage mo lol',"b""this aint about me picking a character KNOW what i'm about lol just interesting where they're taking heavies""",b'eeek!! lol is it 11 pm yet!!??\xf0\x9f\x98\x83',b'Lol sad life \xf0\x9f\x98\x82',b'_T Thank https://t.co/krp88eKCaq but is not what you are thinking',b'_Nixon I know lol Just think if Nike did retros This colorway the old Memphis grizzles and the real pistons would be fire.'
b'I\xe2\x80\x99m creepin lol my bad \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82 but you\xe2\x80\x99re welcome Carline !!',b'Just combed my hair lol I been to hell and back.',"b""Why does shit have to be so fake Ugh it really kills me That's why I'm not interested in anything lol""",b'second one should be 2/2 lol',"b'RT _koyu _Sontee really this is called flop lol,just pre order but can take the first https://t.\xe2\x80\xa6'",b'This is expected to be a lame duck game Watch this be an absolute shoot out and one of the greatest games of the year lol',b'lol i can\xe2\x80\x99t believe me',b'_Ishii I just unfollow at this point I ain\xe2\x80\x99t wasting my time talking to stupid ass people Smh lol',b'Lol carried my guy to the front door.. hope he ain\xe2\x80\x99t bust his ass on the stairs \xf0\x9f\x98\x82',b'I don\xe2\x80\x99t think we have a song by that name Lol https://t.co/c2n2pbrJFS',b'RT Lol DUHHHH!! Y\xe2\x80\x99all always asking this dumb ass question https://t.co/xy18lk1x81',b'Not even close bars wise lol',b'Imagine writing a lil callout on Muslims giving money to help bury slaughtered Jews who were working to help muslim https://t.co/WSUdfG6wFc',b'First off you don\xe2\x80\x99t do shit like that publicly what does doing that do lol How does that help anything?',b'This 7-spd is low key pointless lol but I get their stance on being extra',"b""I adore all the salt and soak it up like a sponge I love the plant so much he's a good boy lol""",b'I don\xe2\x80\x99t know why I try I honestly don\xe2\x80\x99t even care lol',b'RT _Fiend Flo Jo wasnt overlooked just say you ain\xe2\x80\x99t know who she was before Beyonc\xc3\xa9 Lol https://t.co/F4wCiogKyv',b'Lol the spark farming streams on mixer right now... https://t.co/XSLhaVnsfb',b'RT _Fiend Flo Jo wasnt overlooked just say you ain\xe2\x80\x99t know who she was before Beyonc\xc3\xa9 Lol https://t.co/F4wCiogKyv',b'i\xe2\x80\x99m so sleepy right that i can\xe2\x80\x99t even type right lol.',b'_bull_forreal Some girl down south I think lol',b'RT _Fiend Flo Jo wasnt overlooked just say you ain\xe2\x80\x99t know who she was before Beyonc\xc3\xa9 Lol https://t.co/F4wCiogKyv',b'I just need to get some sleep that\xe2\x80\x99s all lol',b'Woah woah these both my friends bro lol',b'_Bagans I understand just from watching I was sitting there hoping he wouldn\xe2\x80\x99t https://t.co/iGYsd8ov9C',b'Lol as my guy started showing face I started responding o if I like you no time abeg',b'I Firmly Believe that One Day -Im going to Meet some of the Lovely People Ive met on Twitter .(We aint all Screw ba https://t.co/UBWCCBWm1O',b'Incel lol Yeah I said there are plenty of good people there but they are also promotin https://t.co/boauPqFCvs',b'RT _x Am i weird for wanting to travel with my significant other then marriage then more travel then kids In that order?\xe2\x80\xa6',"b'_Veritas I can relate on the ""cursed life part seriously ""fl https://t.co/xqYgqKpLlH'",b'_payne19 Because it\xe2\x80\x99s YOU Lol you can tag me in Christmas stuff',"b""RT Lol I don't understand why people listen to Don Lemon He is not oppressed you guys hahaha""",b'I\xe2\x80\x99d probably in Baguio when the MV is released lol Praying for a fast net connection up on the north \xf0\x9f\x98\x82',b'Easily wings lol.',b'RT On This Day 6 Years Ago We Fucked Jackson Up Lol Haven\xe2\x80\x99t Been The Same Since \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82 https://t.co/n7R1dl1uVN',b'RT Al Sharpton looks like he\xe2\x80\x99s smoking crack Get help I guess snitching to the FBI way back when has made you a trick for th\xe2\x80\xa6',b'lol nobody but it\xe2\x80\x99s just about that time a new start is needed',b'RT konan dressed as a cone for halloween LOL im finding this funnier than i should https://t.co/QFUm9Ra6Z7',"b""_5220 Lol last time you took Eli to McDonald's you didn't invite and I felt that shit""",b'RT nigga excuse me',b'RT _ Grown women take men that they fkn wit out all the time Stop making this a thing lol https://t.co/taSlwzqJFd',"b""I'm getting good at this TV thing Just gave another interview for one of the schools projects if this nursing thi https://t.co/nhYIH7xio9""",b'Perfect Idk lol #MAMAVOTE #iKON https://t.co/acxG3meU2i',b'Lol I\xe2\x80\x99ve been having some major anxiety y\xe2\x80\x99all are never gonna see me again \xf0\x9f\x98\xa9',b'@_xLoveAB Lol that\xe2\x80\x99s dat grown woman hairstyle',b'RT _bell_sky I had a weird dream that I was at a smash tournament and none of the setups had DLC characters but a piranha plant was\xe2\x80\xa6',b'None of their players are even in the top 10 for worlds best players lol!',b'Look at the reaction to Piranha plant It\xe2\x80\x99s basically stunned hype People are confused as fuck bu https://t.co/kYzfga4xZv',b'_MyTEAM I retweeted this before the notification got sent lol \xf0\x9f\x98\x86',b'Bruv lol I\xe2\x80\x99m blocked by so many ppl I\xe2\x80\x99ve never spoken Wankers \xf0\x9f\xa4\xa3',b'It\xe2\x80\x99s November 1st and I\xe2\x80\x99m already stressed about Christmas presents lol',b'_Nicole Agreed on the chicken and dumplings But their biscuits IMO beat a chain like Denny\xe2\x80\x99s or Perkins A https://t.co/xBPqtmI63H',"b""I'll confess one of my sins It's loving thy neighbor Some days are better https://t.co/sdnh63LcMf""",b'_Thitipoom Lol Take Mook\xe2\x80\x99s advice Continue eating 55555',b'Lol I\xe2\x80\x99ll check when im home what\xe2\x80\x99s your build',b'Is it open season trolling or just that one tweet from before LOL',b'RT LOL They thought his name was real \xf0\x9f\x91\x80\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 https://t.co/8n3aa4pAZQ',b'Damn he aint minding his business at all lol https://t.co/eYx19yoijk',"b""Lol It's an old gold gym treadmill""",b'Aight aight bro lol',b'RT Lol Capricorns are a group of individuals that didn\xe2\x80\x99t make the cut to be apart of the greatest sign there is\xe2\x80\xa6',b'Lol still anti game huh Haha',b'Lol I honestly don\xe2\x80\x99t know where I\xe2\x80\x99ll where that yasssss shirt',"b""RT lol why are girls still being mean you're in your 20's find a new hobby""",b'You know I was thinking about that one idk why I didn\xe2\x80\x99t say it tho lol \xf0\x9f\x98\x82',b'Spirit husband ish Lol https://t.co/yKWbtV5JYd',"b""I'm watching all my irl Snapchat and they were out partying and I didn't get an invite lol I can't wait to die alone""",b'Amazing Magic you are gonna see lol https://t.co/wMTgPOPsWt via',b'Double LOL Go get yourself an education rich boy Then come back with some logical argu https://t.co/00bIkggPgE',b'lol I was hoping you\xe2\x80\x99d see that.',b'_Zarak lol this is definitely Tommy \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82x',"b""Oh yes sorry I forgot about the uploading issue I'm imagining the scene outside your window &amp it's be https://t.co/5DdyaQFdWM""",b'Thank you A million times over thank you I was expecting a sideshow and I got more th https://t.co/mHtCKQ6bmq',b'Um excuse me sir I think you\xe2\x80\x99ve been a zombie sometime in the past 10 years Lol The costume looks great!',b'RT _Fiend Flo Jo wasnt overlooked just say you ain\xe2\x80\x99t know who she was before Beyonc\xc3\xa9 Lol https://t.co/F4wCiogKyv',b'RT The new balloons are... interesting lol https://t.co/mBQmbdVMvb',b'PLEASE sing this and Feel This Christmas in ALL YOUR SHOWS here in the Philippines cuz we celebrate Chr https://t.co/chxw0Qc0HY',b'Lol cfa be hitting after a long break',b'MetroNY &amp AMNY newspaper anything related to housing &amp;&amp;&amp neighborhood hopping (special shoutout to my nail https://t.co/xWWLCmqTk2',b'Lol kante that song is his ?\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',"b""Lol dude idk who's a greater surprise Cloud in Smash 4 or Piranha Plant in Smash Ultimate""",b'Lol RT Who now https://t.co/lmGxwoQrd4',b'IDGAF HALLOWEEN JUST ENDED ITS TOO EARLY FOR CHRISTMAS MUSIC LOL',b'Lol No comments.',b'You oding now lol https://t.co/pasHtZbJAd',b'So whatever we\xe2\x80\x99re theorizing is completely wrong lol',b'Might be done drinking for a min Like seriously lol',b'nobody wants a friendly ass nigga duh lol .',b'i\xe2\x80\x99m just excited for the christmas music to start playing lol',b'Lucky Lol',b'RT If your \xe2\x80\x9cinspiration \xe2\x80\x9cis directly ripping off the work of your peers (esp for fame or profit it\xe2\x80\x99s not being inspired it\xe2\x80\x99s b\xe2\x80\xa6',b'JoJo\xe2\x80\x99s not a child lol and I doubt she would enjoy being viewed as so weak and susceptib https://t.co/6v4R2zzBBV',b'You are a LoL riot.',b'RT _Fiend Flo Jo wasnt overlooked just say you ain\xe2\x80\x99t know who she was before Beyonc\xc3\xa9 Lol https://t.co/F4wCiogKyv',b'_Nicolee13 _7c Wow. love you too lol!',b'RT __ Happily fuck social media lol https://t.co/QtxpMFih9u',b'RT Everybody been acting goofy lately lol',"b'RT On the flight in and Pilot announces ""Ladies and Gentlemen I\'d like to recognize fans of the band as this f\xe2\x80\xa6'",b'Lol I was kinda thinking Tom Wolfe too Just need some LSD and a hat.'
b'looks like perrier lol!',"b""RT tried to convince p'mix that the drink is delicious but he failed lol https://t.co/Ayx90qvlYx""",b'_rowland Lol That be the thing bro',b'Noooo lol hopefully they don\xe2\x80\x99t feel bad either https://t.co/EH9HJEvjPd',"b'RT Murashige Anna Insta Story update 181101 ""Got irritated because I failed to make an insta-worthy cheese pull lol On\xe2\x80\xa6'",b'just got ddosd on bo4 kill confirmed LOL',b'can\xe2\x80\x99t wait to see republicans boycott ben&amp;jerry\xe2\x80\x99s over some pecans lol https://t.co/Ozm9rNpHPk',b'_Kharisma3 I need to go aggravate Gii soon too I know he misses me lol \xf0\x9f\x99\x83',b'RT Lol voting for mama only counts like 20% the actual winner is usually different from the vote winner so don\xe2\x80\x99t get too t\xe2\x80\xa6',b'Is it just me or do y\xe2\x80\x99all mfs get the sudden urge to take a piss after fucking too Lol',b'Oh great more in-fighting lol Such composed mature adults Not.',b'_hegerty I know lol',b'_Lexus Ha ... nice try lex ...this chain is really small.. lol don\xe2\x80\x99t insult me \xf0\x9f\x98\x82',b'RT Imagine writing a lil callout on Muslims giving money to help bury slaughtered Jews who were working to help muslim refugee\xe2\x80\xa6',b'_Me7 Not really We\xe2\x80\x99re set at TE for the next couple years and we\xe2\x80\x99re in it for another 4 kid in this class Nice try though loser lol',b'lol weak',b'RT I\xe2\x80\x99ve had enough trauma with 2NE1 especially on their last performance at MAMA hahaha that was my birthday I hope PENTAGON\xe2\x80\xa6',b'This might be the greatest song ever lol https://t.co/zyp79wogJw',b'Shit take me Lol I ain\xe2\x80\x99t been there in 8yrs I miss it too',b'_Rozayy lmao na it was probably for a streak I seen it was on snap but I don\xe2\x80\x99t even know the girl She gone a https://t.co/sik2ymLvjS',b'Lol but did you have to make it his worst transformation though? Blue sucks.',b'RT @_treonnaa lol i\xe2\x80\x99m trying my best to save my money bruh',b'_vontae Yea helped sparked Dallas run Lol Like I said it just won\xe2\x80\x99t his night Deal with it',b'So what you trying to say \xf0\x9f\x91\x80\xf0\x9f\x91\x80 lol',b'RT We gotta have this connection lol https://t.co/KhIXfbRv1m',b'RT Young people really need to get out to vote. it\xe2\x80\x99s really nothing but old white people out here lol they ain\xe2\x80\x99t finna\xe2\x80\xa6',b'@_ewheels Sick to my stomach okay? Lol',b'AHAHAHAHHA LOL DW SEE YOUR FACE',b'It\xe2\x80\x99s allowed lol',b'to maybe stream for once lol',"b'lol my fam from a ""white""'",b'RT Career Day for my youngest niece\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xe2\x9d\xa4 Dr.Maia\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x9a\x95 she\xe2\x80\x99s alwayssssssss happy like this y\xe2\x80\x99all lol all the time https://t.\xe2\x80\xa6',b'RT I dont think they were ready lol https://t.co/J9t0UGQDIv',b'me &amp my sistwr at the club lol https://t.co/sjfUYAfEoA',b'RT I love dating someone who gets excited over little things the way I do My boyfriend literally rambled for like 10 minutes\xe2\x80\xa6',b'turns out there is no gain followers app lol so i\xe2\x80\x99ll just have to wait for someone to discover me since i don\xe2\x80\x99t lik https://t.co/UaUPXMYJkv',b'i just heard breast reduction tiddies be ugly lol https://t.co/Azb0UUDX4o',b'Lets hang out and see if my voice comes back Lol I\xe2\x80\x99ll be at TechFlex in Central Hall booth 22532 at 11am today I https://t.co/jhx5i6x73D',b'The loml gonna say she fell asleep last night even we both know she don\xe2\x80\x99t sleep tell 2 lol keep doing yourself Kin https://t.co/YZTq9IINd4',b'lol i\xe2\x80\x99m tired of trying to figure out people\xe2\x80\x99s intentions',"b""RT WTF S teaser snatched them wigs it seems I think this is the highest i've seen TWICEs female ratio to men lol https://t.c\xe2\x80\xa6""",b'Can\xe2\x80\x99t stand you lol',b'Lol I know hey but honestly the iron is really a plug for weaves \xf0\x9f\x91\x8c. Iyasha i-iron from Soweto to Sandton.',b'RT Lol loveeeee the costume my mans lowkey loook like \xf0\x9f\x98\x82 https://t.co/tPzMBdchkH',b'RT i\xe2\x80\x99m seeing all these creative costumes on my TL that are beyond amazing but can y\xe2\x80\x99all believe ppl are really out here dre\xe2\x80\xa6',"b'pretty hilarious responses to this lol ""There\'s some skepticism around Gregg Williams co https://t.co/9jidr7ABDM'",b'Even tho I hate the snow.. a nice trip up to a cabin with some sledding and some coo peoples would be decent lol.',b'LOL!!! JAVLA FITTA MY SWEDISH FRIEND!!! VOLVO AND IKEA XDDDDDDDDDDDD https://t.co/N0SoBtV5sF',b'He just demonstrated the double standard And you played right into it He is going to https://t.co/7SoWG5gw9x',b'get 500 followers lol smallask but ill get there im sure one day\xf0\x9f\xa4\xa3',b'Lol lol I can\xe2\x80\x99t until I\xe2\x80\x99ve lost 3 more chins at least',b'It had great reviews I read one page that someone had posted online &amp ordered it right away Lol',b'Lol Na wetin me dey do o!',"b""_CoolJ Lol where u been at I ain't seen u in years""","b""RT me *wants a relationship* also me *doesn't want to be tied down by any sort of commitment to another human being because i\xe2\x80\xa6""",b'Females might be the way to play the game they will squat to piss while the https://t.co/J1bVGC5H93',b'RT I decided to share the best routine I\xe2\x80\x99ve ever done lol and yes I\xe2\x80\x99m the bright purple one that doesn\xe2\x80\x99t know where she is\xe2\x80\xa6',b'failed my bio quiz lol',b'RT @_theGoat01 Really can\xe2\x80\x99t talk to ppl who see no wrongs in themselves lol Shits pointless',b'RT _1210 _Proctor89 You realize how much you\xe2\x80\x99ve been zapped when you have to buy a new pair of strippers &amp dikes lol',b'Oh really lol https://t.co/WETJNPWaYy',b'I already have a costume idea for next year and I\xe2\x80\x99m so excited about it lol',b'If I didn\xe2\x80\x99t come to Vegas I would have missed it by 1 show and would have been so mad lol',b'RT He look like 2 toddlers standing on top of eachother lol https://t.co/TCbAlTj36C',"b""Lol I'd rather go to they gym I'd never get stuff done if I was on the system""",b'LOL UHHHH Boys like you Either way I love story time So like feel free to give me details.',b'It\xe2\x80\x99s crazy how the brain works Somebody can say \xe2\x80\x9cugh something smells like ass. But you can\xe2\x80\x99t help but sniff n se https://t.co/DR8d5Uzgy5',b'RT stay lol chan u loser non-stay lol chan u loser stay https://t.co/NQUwlPVij2',b'I have a Joke Police arrested two kids yesterday one was drinking battery acid the other was https://t.co/36Sw2lJwGZ',b'@_likanye Lol so if I vote for EFF my dreams will come true ?',b'Lol u right gunna have to go to hermiston for bottles',b'Just played #thebrood theme in My office...my office mate is confused but I caught her jamming lol',b'Done with social media for awhile isolating myself from the world catch me on the flip side lol \xf0\x9f\x98\x98',b'RT Lol honorable mention .. Zhartaezia Bradley #16 gave it her all for the past 3 years she had a whole team on her back even\xe2\x80\xa6',b'Same He\xe2\x80\x99s due to score too lol',b'RT Republicans in Georgia brought Mike Pence to an Oprah fight lol',"b'What a crazy way to start my day in Beverly Hills Get out.of my car ,hear sirens ,look on the ground and see the o https://t.co/7jKwzNwyRU'",b'Lol I had to screen shot it from my facebook https://t.co/fi50y3foqZ',b'RT I made a wallpaper if anyone wants it lol https://t.co/q8wNpIWr4A',b'Thanks man hopefully it all completes soon lol',b'I know! That\xe2\x80\x99s such a scary thought and exactly why i dont post selfies very much lol',b'Fun fact This image has 3 edits done to it Most of you\xe2\x80\x99ll probably only spot one or two lol',"b""Lol too early..They'll say wait for 24 hours to end soon \xf0\x9f\x98\x82""","b'RT ""He said some stupid shit overall but it was 2 valid points in there "" This why Dr Umar got so many followers lol'",b'Same price I think lol',"b""Same I can't make friends for shit lol""",b'4 still It took me a while to figure out how to get to Blackwater without being killed since I was wanted dead or alive lol',b'MOZART?? Lol what https://t.co/Z9swDna6sB',"b""Lol Does touting for business on rival companies threads qualify as 'trolling'? #AskingForAFriend""","b""_Newt Yeah it's that interim period that difficult Hopefully his beard grows fast I've seen G in a beard fro https://t.co/Juge9myPWo""",b'My makeup goes good when I don\xe2\x80\x99t have a m&amp;g lol',b'Lol everyone says my doppelg\xc3\xa4nger is \xf0\x9f\xa4\x94 thxxxxx',b'This group chat is tooooo much Lol',b'RT Lol loveeeee the costume my mans lowkey loook like \xf0\x9f\x98\x82 https://t.co/tPzMBdchkH',b'LOL Just saw you post this on FB Tempting fate eh \xf0\x9f\x98\x82',b'The wey the sun scorch this morning paaa dier eeii...ebi like the Ewe man(judas)was on duty today.... Bye https://t.co/0eAqXfSoYp',b'RT _Polo This gon be used in the DMV a lot lol https://t.co/k5f8AUdfXB',b'RT I love dating someone who gets excited over little things the way I do My boyfriend literally rambled for like 10 minutes\xe2\x80\xa6',b'RT _bell_sky I had a weird dream that I was at a smash tournament and none of the setups had DLC characters but a piranha plant was\xe2\x80\xa6',"b""RT Can't help it...lol"""
b'looks like perrier lol!',"b""RT tried to convince p'mix that the drink is delicious but he failed lol https://t.co/Ayx90qvlYx""",b'_rowland Lol That be the thing bro',b'Noooo lol hopefully they don\xe2\x80\x99t feel bad either https://t.co/EH9HJEvjPd',"b'RT Murashige Anna Insta Story update 181101 ""Got irritated because I failed to make an insta-worthy cheese pull lol On\xe2\x80\xa6'",b'just got ddosd on bo4 kill confirmed LOL',b'can\xe2\x80\x99t wait to see republicans boycott ben&amp;jerry\xe2\x80\x99s over some pecans lol https://t.co/Ozm9rNpHPk',b'_Kharisma3 I need to go aggravate Gii soon too I know he misses me lol \xf0\x9f\x99\x83',b'RT Lol voting for mama only counts like 20% the actual winner is usually different from the vote winner so don\xe2\x80\x99t get too t\xe2\x80\xa6',b'Is it just me or do y\xe2\x80\x99all mfs get the sudden urge to take a piss after fucking too Lol'
b'Hahaha you\xe2\x80\x99re so cute! I was just about to do it rn lol https://t.co/DMuKzeoEj3',b'happy birthday home skillet! lol many blessings your way! continue killing it. only up from here!',b'_92 And most likely had a business cell plan that wasn\xe2\x80\x99t his mom\xe2\x80\x99s account lol',b'Lol Little man Just rambling on',b'How does one stay motivated throughout the entire semester lol',b'And one that I suck at lol',b'RT _Polo This gon be used in the DMV a lot lol https://t.co/k5f8AUdfXB',b'RT Lol what a meme god This tweet definitely makes me forget about all the racist misogynistic homophobic and cowardly t\xe2\x80\xa6',b'RT Lol loveeeee the costume my mans lowkey loook like \xf0\x9f\x98\x82 https://t.co/tPzMBdchkH',b'@_1DUNKin Lol thats all you can really say \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3'
b'Hahaha you\xe2\x80\x99re so cute! I was just about to do it rn lol https://t.co/DMuKzeoEj3',b'happy birthday home skillet! lol many blessings your way! continue killing it. only up from here!',b'_92 And most likely had a business cell plan that wasn\xe2\x80\x99t his mom\xe2\x80\x99s account lol',b'Lol Little man Just rambling on',b'How does one stay motivated throughout the entire semester lol',b'And one that I suck at lol',b'RT _Polo This gon be used in the DMV a lot lol https://t.co/k5f8AUdfXB',b'RT Lol what a meme god This tweet definitely makes me forget about all the racist misogynistic homophobic and cowardly t\xe2\x80\xa6',b'RT Lol loveeeee the costume my mans lowkey loook like \xf0\x9f\x98\x82 https://t.co/tPzMBdchkH',b'@_1DUNKin Lol thats all you can really say \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3',b'_xo What does that mean lol?',b'_artak _blkbeard thats the thing that worries me LOL'
b'#Bengals FS Jessie Bates is PFF\xe2\x80\x99s AFC Defensive Rookie of the Month and a Midseason All-Pro https://t.co/kcMd5A4VU1 https://t.co/77SvYr1o8R',b'RT _Devv Legit heard in AZ has played I Be Faded on their radio an that ratings went up by like 16% if this is true\xe2\x80\xa6',b'i have three fs \xf0\x9f\x97\xbf',"b""RT _ #Chanyeol's Birthday Giveaway \xf0\x9f\x96\xa4 -Worldwide FS -#Yeolmae's Only (PCY must be your ULT!) -OT9 #EXO-L no solo stans -No saved/priv\xe2\x80\xa6""",b'RT _sydney Yuzuru planned program content SP FS 4T+3A+SEQ \xf0\x9f\xa4\xaa also 3F+3T ?? https://t.co/1kiQYpLUc6 #\xe7\xbe\xbd\xe7\x94\x9f\xe7\xb5\x90 #GPHelsinki https://t.co\xe2\x80\xa6',b'RT _kreins _State Hey _State when you #FeedTheDOG you support students like me that develop lifelong skill-sets &amp w\xe2\x80\xa6',b'I need you.',b'RT ME Analyzer v1.70.0 adds full parsing &amp unpacking of all Intel CSE ME/TXE/SPS File Systems (MFS/AFS based on the amazing\xe2\x80\xa6',b'CALLING ALL #CYBER OPERATORS Register for the Sparta Cyber Throwdown at #IITSEC this year Conference attendees wi https://t.co/cfufKkyJvq',b'This is a smart use of technology Thank you!'
